Designator,Mid X,Mid Y,Rotation,Layer
C1,30.105,-43.0,180.0,top
C10,40.8425,-23.5,180.0,top
C11,64.82,-36.9375,270.0,top
C12,60.935,-22.9875,90.0,top
C13,69.45,-36.0375,270.0,top
C14,71.75,-35.9625,270.0,top
C15,63.235,-22.9875,90.0,top
C16,16.8,-44.6375,90.0,top
C17,63.7925,-63.5,180.0,top
C18,21.8375,-44.5375,90.0,top
C19,60.73,-58.8,270.0,top
C2,30.105,-45.3,180.0,top
C20,67.63,-60.3,270.0,top
C21,64.5925,-67.4,0.0,top
C22,55.21,-62.9,180.0,top
C23,53.73,-64.6,0.0,top
C24,29.1425,-40.7,180.0,top
C25,45.605,-35.4625,270.0,top
C26,54.23,-71.7,270.0,top
C28,56.83,-61.2675,90.0,top
C29,67.15,-36.0375,270.0,top
C3,41.105,-35.9375,90.0,top
C4,30.105,-47.6,180.0,top
C5,36.505,-35.0375,90.0,top
C6,47.905,-34.5,270.0,top
C7,50.225,-34.5,270.0,top
C8,39.9425,-28.1,180.0,top
C9,52.525,-34.5,270.0,top
J10,102.5,-66.1,90.0,top
J11,48.4,-101.99,180.0,top
J15,14.3,-34.9,270.0,top
J19,62.765,-109.525203,0.0,top
J2,23.8,-60.7,180.0,top
J20,66.3,-87.5,270.0,top
J21,27.6,-23.51,0.0,top
J24,73.3,-87.5,270.0,top
J25,85.2,-104.51,0.0,top
J27,59.3,-87.5,270.0,top
J4,22.4,-99.5,270.0,top
J5,104.05,-14.85,180.0,top
J7,87.5,-14.85,180.0,top
L2,42.63,-66.3,0.0,top
M1,19.943622,-72.51,90.0,top
M2,26.943622,-72.51,90.0,top
Q1,49.725,-55.7,0.0,top
Q2,56.625,-55.7,0.0,top
Q3,15.931122,-76.3,90.0,top
Q4,35.181122,-76.34,90.0,top
R1,38.805,-35.05,270.0,top
R10,65.38,-65.5,180.0,top
R11,65.33,-60.3,270.0,top
R12,52.03,-69.05,90.0,top
R13,16.231122,-68.29,90.0,top
R14,32.931122,-68.34,90.0,top
R15,20.8,-31.35,90.0,top
R16,20.7,-39.15,270.0,top
R17,59.895,-102.175203,180.0,top
R18,66.595,-102.575203,0.0,top
R19,52.65,-107.88,180.0,top
R20,52.65,-105.58,180.0,top
R21,52.65,-103.28,180.0,top
R22,34.205,-35.05,270.0,top
R3,59.83,-69.4,0.0,top
R4,64.78,-69.3,0.0,top
R5,60.535,-29.35,270.0,top
R6,57.755,-34.0,0.0,top
R7,39.955,-30.4,0.0,top
R8,39.955,-25.8,0.0,top
R9,53.8275,-61.3,0.0,top
SW1,44.3,-80.1,270.0,top
U1,36.505,-42.7425,90.0,top
U2,16.8,-51.6,270.0,top
U3,21.8375,-51.5625,270.0,top
U4,35.665,-104.96,180.0,top
U5,66.8925,-29.6,180.0,top
U6,47.6475,-28.1,180.0,top
U7,59.73,-64.8,180.0,top
Y1,52.0325,-40.04,0.0,top
Y3,74.85,-28.4,90.0,top
Y4,55.705,-26.8,90.0,top
